epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1104.34,0.75304,1.01967,1.25828,0.90139,0.47915,0.60145,0.3767,0.99477,1.10214,1.52018,0.0005941,0.0005941,0.0005941
43,1131.34,0.75868,1.04848,1.26229,0.64729,0.5026,0.53531,0.38658,1.04145,1.35955,1.56944,0.0005842,0.0005842,0.0005842
44,1166.62,0.7355,1.03431,1.24175,0.64572,0.68247,0.56098,0.3973,0.98106,1.16342,1.47993,0.0005743,0.0005743,0.0005743
45,1193.01,0.73706,1.00083,1.25739,0.59393,0.64239,0.55961,0.3776,0.99994,1.22484,1.49119,0.0005644,0.0005644,0.0005644
46,1218.98,0.73096,0.97984,1.23637,0.68295,0.54174,0.51436,0.37305,1.01124,1.18585,1.55346,0.0005545,0.0005545,0.0005545
47,1246.65,0.72712,0.99689,1.24417,0.65077,0.62856,0.53333,0.36737,1.0274,1.21414,1.55719,0.0005446,0.0005446,0.0005446
48,1272.74,0.71303,0.97553,1.24852,0.73802,0.67855,0.59265,0.40284,0.9662,1.11743,1.48663,0.0005347,0.0005347,0.0005347
49,1298.94,0.73069,0.94714,1.23345,0.66664,0.68021,0.58834,0.42678,0.95798,1.07511,1.49308,0.0005248,0.0005248,0.0005248
50,1325.2,0.71865,0.96511,1.23219,0.76605,0.62241,0.69235,0.45703,0.94897,1.1321,1.47993,0.0005149,0.0005149,0.0005149
51,1358.98,0.74693,0.98793,1.25009,0.7053,0.57922,0.54377,0.38572,0.97138,1.12943,1.45837,0.000505,0.000505,0.000505
52,1384.95,0.7232,0.96236,1.22966,0.71046,0.5701,0.56386,0.38573,0.97747,1.10071,1.50579,0.0004951,0.0004951,0.0004951
53,1421.27,0.68381,0.90456,1.21221,0.47569,0.54743,0.5556,0.39669,0.91977,1.07446,1.44852,0.0004852,0.0004852,0.0004852
54,1447.6,0.6915,0.90196,1.20798,0.88327,0.54498,0.61942,0.41635,0.93844,1.08529,1.46769,0.0004753,0.0004753,0.0004753
55,1473.46,0.70294,0.89157,1.224,0.78405,0.50699,0.5725,0.40286,0.93157,1.06358,1.44357,0.0004654,0.0004654,0.0004654
56,1499.64,0.69218,0.8629,1.2081,0.89361,0.59103,0.69705,0.49631,0.91037,1.06463,1.41857,0.0004555,0.0004555,0.0004555
57,1525.88,0.69507,0.88248,1.19613,0.94641,0.4426,0.53941,0.39359,0.91173,1.07278,1.43046,0.0004456,0.0004456,0.0004456
58,1551.75,0.66799,0.85001,1.18576,0.93313,0.61993,0.69746,0.4894,0.93242,1.04855,1.46335,0.0004357,0.0004357,0.0004357
59,1578.03,0.67119,0.85348,1.19725,0.69064,0.56469,0.56643,0.42135,0.91423,1.02166,1.42464,0.0004258,0.0004258,0.0004258
60,1606.45,0.66345,0.85414,1.18266,0.86862,0.61854,0.63526,0.44009,0.89628,1.00234,1.41468,0.0004159,0.0004159,0.0004159
61,1633.02,0.65225,0.82719,1.17552,0.75541,0.66647,0.64433,0.4558,0.93295,1.021,1.43658,0.000406,0.000406,0.000406
62,1659.38,0.65408,0.80587,1.17981,0.86268,0.61494,0.63801,0.45822,0.92736,0.97849,1.45648,0.0003961,0.0003961,0.0003961
63,1685.32,0.64514,0.78726,1.17701,0.80016,0.64856,0.58809,0.43142,0.91824,0.99256,1.42501,0.0003862,0.0003862,0.0003862
64,1711.38,0.667,0.82454,1.17929,0.78583,0.51322,0.55596,0.41492,0.90341,1.06136,1.39389,0.0003763,0.0003763,0.0003763
65,1737.31,0.61655,0.76801,1.15904,0.54016,0.85443,0.71249,0.4694,0.87818,1.01271,1.41823,0.0003664,0.0003664,0.0003664
66,1763.23,0.62966,0.80184,1.16214,0.68957,0.69141,0.60375,0.44155,0.88726,1.02953,1.40722,0.0003565,0.0003565,0.0003565
67,1788.93,0.61175,0.76376,1.15001,0.82044,0.66139,0.69263,0.44689,0.85651,0.95137,1.39679,0.0003466,0.0003466,0.0003466
68,1814.59,0.59939,0.75056,1.15327,0.81499,0.65908,0.70753,0.49852,0.87527,1.04135,1.41834,0.0003367,0.0003367,0.0003367
69,1840.58,0.61921,0.75776,1.15203,0.75636,0.66417,0.59509,0.41696,0.89204,1.0623,1.42239,0.0003268,0.0003268,0.0003268
70,1866.79,0.59042,0.71471,1.14343,0.76382,0.6598,0.56801,0.41046,0.8959,1.10404,1.43653,0.0003169,0.0003169,0.0003169
71,1894.34,0.59478,0.72153,1.13761,0.92696,0.60629,0.78302,0.48868,0.87535,1.01508,1.43478,0.000307,0.000307,0.000307
72,1921.78,0.58717,0.71929,1.13337,0.94611,0.60805,0.77941,0.47717,0.87873,0.97479,1.42113,0.0002971,0.0002971,0.0002971
73,1947.97,0.58333,0.71235,1.12686,0.78097,0.63606,0.60074,0.44403,0.88501,1.02586,1.4256,0.0002872,0.0002872,0.0002872
74,1973.69,0.61765,0.72637,1.15055,0.81734,0.6518,0.6862,0.44865,0.86857,0.97739,1.39175,0.0002773,0.0002773,0.0002773
