epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1399.2,0.81156,0.88998,0.01534,0.70284,0.54903,0.52884,0.39235,0.95123,1.21045,0.02898,0.0005941,0.0005941,0.0005941
43,1432.17,0.79174,0.88279,0.01544,0.85718,0.47582,0.60955,0.46785,0.92608,1.03544,0.02705,0.0005842,0.0005842,0.0005842
44,1465.25,0.81062,0.8715,0.01584,0.85694,0.5568,0.59865,0.42352,0.95875,1.23964,0.02823,0.0005743,0.0005743,0.0005743
45,1498.29,0.82248,0.92866,0.01615,0.87777,0.48694,0.59343,0.43632,0.96208,1.14747,0.02905,0.0005644,0.0005644,0.0005644
46,1531.48,0.7997,0.86618,0.01592,0.93787,0.57318,0.69141,0.5549,0.90854,1.10834,0.02704,0.0005545,0.0005545,0.0005545
47,1564.43,0.77596,0.85874,0.01542,0.72188,0.69848,0.59047,0.43539,0.8786,1.01056,0.0251,0.0005446,0.0005446,0.0005446
48,1597.3,0.78688,0.8616,0.01581,0.52269,0.481,0.53006,0.40153,0.93745,1.05279,0.0279,0.0005347,0.0005347,0.0005347
49,1630.4,0.78894,0.83242,0.01548,0.61245,0.69193,0.67539,0.48876,0.87723,1.07329,0.02571,0.0005248,0.0005248,0.0005248
50,1663.49,0.77359,0.80649,0.01552,0.53183,0.6603,0.60651,0.43912,0.89957,1.04086,0.02673,0.0005149,0.0005149,0.0005149
51,1697.74,0.78635,0.86769,0.0153,0.78703,0.5454,0.61849,0.44038,0.86403,1.0719,0.02528,0.000505,0.000505,0.000505
52,1731.01,0.76069,0.81487,0.01465,0.78818,0.70563,0.68129,0.45833,0.85775,1.04683,0.02531,0.0004951,0.0004951,0.0004951
53,1765.19,0.71597,0.79459,0.01382,0.71317,0.60038,0.63819,0.48327,0.91269,1.04052,0.02645,0.0004852,0.0004852,0.0004852
54,1799.78,0.75249,0.78747,0.01435,0.85827,0.54704,0.58335,0.45348,0.84574,1.15964,0.02501,0.0004753,0.0004753,0.0004753
55,1834.32,0.73035,0.81637,0.01399,0.87782,0.64898,0.67646,0.51466,0.87885,1.00919,0.02507,0.0004654,0.0004654,0.0004654
56,1868.28,0.73302,0.73914,0.01379,0.59391,0.575,0.58284,0.44655,0.83417,1.04313,0.02428,0.0004555,0.0004555,0.0004555
57,1903.2,0.73748,0.7769,0.01368,0.54601,0.68048,0.63986,0.49583,0.84268,1.17949,0.02454,0.0004456,0.0004456,0.0004456
58,1938.18,0.70665,0.73348,0.01302,0.79785,0.64626,0.63221,0.45758,0.81942,1.18277,0.02339,0.0004357,0.0004357,0.0004357
59,1971.77,0.68997,0.74319,0.01325,0.75078,0.55964,0.55506,0.42082,0.87005,1.13822,0.02511,0.0004258,0.0004258,0.0004258
60,2005.49,0.71441,0.73394,0.01334,0.89716,0.65083,0.69536,0.48372,0.90054,1.05991,0.02657,0.0004159,0.0004159,0.0004159
61,2040.19,0.69086,0.68775,0.01278,0.9613,0.60125,0.70776,0.51811,0.8314,1.0976,0.02353,0.000406,0.000406,0.000406
